CO,H,Li,Na ,K,Rb,Cs,NH4,,,
CrO,H,Li,Na ,K,Rb ,Cs,NH4,Ca,Mg,
PO,H,Li,Na ,K,Rb,Cs,NH4,,,
S,H,Li,Na ,K,Rb,Cs,NH4,,,
OH,H,Li,Na ,K,Rb,Cs,,,,
xxx,x,x,x,x,x,x,x,x,x,x
